"NAME","CODE__C","CUSTCLOSURE__C","TECHCLOSURE__C","STATUS__C","EXTSYSTEM__C"
"PEGCC_MOP_024","PEGCC_MOP_024","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_025","PEGCC_MOP_025","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_026","PEGCC_MOP_026","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_027","PEGCC_MOP_027","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_028","PEGCC_MOP_028","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_029","PEGCC_MOP_029","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_RMB_001","PEGCC_RMB_001","Abbiamo emesso un rimborso che troverai sul prossimo Conto Fastweb. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_RMB_002","PEGCC_RMB_002","","","KO","SY_PEG"
"PEGCC_RMB_003","PEGCC_RMB_003","","","KO","SY_PEG"
"PEGCC_RMB_004","PEGCC_RMB_004","","","KO","SY_PEG"
"PEGCC_RMB_005","PEGCC_RMB_005","","","KO","SY_PEG"
"PEGCC_RMB_006","PEGCC_RMB_006","","","KO","SY_PEG"
"PEGCC_VAC_001","PEGCC_VAC_001","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_VAC_002","PEGCC_VAC_002","La tua richiesta non può essere gestita. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_VAC_003","PEGCC_VAC_003","Abbiamo emesso un rimborso che troverai sul prossimo Conto Fastweb. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_VAC_004","PEGCC_VAC_004","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_VAC_005","PEGCC_VAC_005","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_VAC_006","PEGCC_VAC_006","","","KO","SY_PEG"
"OMCCC_VARC_001","OMCCC_VARC_001","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMCCC_VARC_002","OMCCC_VARC_002","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMCCC_VARC_003","OMCCC_VARC_003","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMCCC_VARC_004","OMCCC_VARC_004","La tua richiesta è completata","","OK","SY_OMC"
"PEGCC_WARN_001","PEGCC_WARN_001","La tua richiesta è stata gestita come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_WARN_002","PEGCC_WARN_002","La tua richiesta è stata gestita come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_ERR_000","PEGCC_ERR_000","Richiesta non completata","","KO","SY_PEG"
"PEGCC_PIVA_001","PEGCC_PIVA_001","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_PIVA_002","PEGCC_PIVA_002","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_CF_001","PEGCC_CF_001","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_CF_002","PEGCC_CF_002","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_RMO_001","PEGCC_RMO_001","La tua richiesta è stata gestita come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_RMO_002","PEGCC_RMO_002","La tua richiesta è stata gestita come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_RMO_003","PEGCC_RMO_003","","","KO","SY_PEG"
"PEGCC_RKOMOP_001","PEGCC_RKOMOP_001","La tua richiesta è stata gestita come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_RKOMOP_002","PEGCC_RKOMOP_002","Abbiamo provato a contattarti per informarti che la tua richiesta non è andata a buon fine. Il prossimo conto sarà emesso con bollettino postale, con un addebito cauzionale di 100 €. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_RSDD_001","PEGCC_RSDD_001","La tua richiesta è stata gestita come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_RSDD_002","PEGCC_RSDD_002","Abbiamo provato a contattarti per informarti che la tua richiesta non è andata a buon fine. Il prossimo conto sarà emesso con bollettino postale, con un addebito cauzionale di 100 €. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"OMC_SUBSCRLIST_0","OMC_SUBSCRLIST_0","La tua richiesta è completata","","OK","SY_OMC"
"OMF_INVSHPADDR_OK","OMF_INVSHPADDR_OK","La tua richiesta è completata","","OK","SY_OMF"
"OMC_TAXOTH_OK","OMC_TAXOTH_OK","La tua richiesta è completata","","OK","SY_OMC"
"OMC_CONTACTS_OK","OMC_CONTACTS_OK","La tua richiesta è completata","","OK","SY_OMC"
"OMC_INVSHPMETH_OK","OMC_INVSHPMETH_OK","La tua richiesta è completata","","OK","SY_OMC"
"OMF_MOP_OK","OMF_MOP_OK","La tua richiesta è completata","","OK","SY_OMF"
"OMC_PERSDATA_OK","OMC_PERSDATA_OK","La tua richiesta è completata","","OK","SY_OMC"
"OMC_GENERIC_KO","GENERIC_KO","OMC Generic KO","","KO","SY_OMC"
"OMF_GENERIC_KO","GENERIC_KO","OMF Generic KO","","KO","SY_OMF"
"PEGCC_MOP_001","PEGCC_MOP_001","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_002","PEGCC_MOP_002","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_003","PEGCC_MOP_003","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_004","PEGCC_MOP_004","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_005","PEGCC_MOP_005","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_MOP_006","PEGCC_MOP_006","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_007","PEGCC_MOP_007","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_008","PEGCC_MOP_008","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_HMV_002","PEGCC_HMV_002","La tua richiesta non è andata a buon fine, come comunicato dal nostro Servizio Clienti. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_TKO_001","PEGCC_TKO_001","Per maggiori informazioni su questa richiesta accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"OMC_PERSDATA_4","OMC_PERSDATA_4","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_2","OMC_PERSDATA_2","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_1","OMC_PERSDATA_1","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_TAXOTH_004","OMC_TAXOTH_004","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_CONTACTS_KO","OMC_CONTACTS_KO","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento. Se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_6","OMC_PERSDATA_6","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N2","OMC_PERSDATA_N2","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N5","OMC_PERSDATA_N5","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_TAXOTH_005","OMC_TAXOTH_005","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_5","OMC_PERSDATA_5","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N1","OMC_PERSDATA_N1","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_SUBSCRLIST_N1","OMC_SUBSCRLIST_N1","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_31","OMC_PERSDATA_31","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_INVSHPMETH_KO","OMC_INVSHPMETH_KO","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_TAXOTH_002","OMC_TAXOTH_002","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_TAXOTH_001","OMC_TAXOTH_001","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N9","OMC_PERSDATA_N9","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N3","OMC_PERSDATA_N3","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N6","OMC_PERSDATA_N6","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_TAXOTH_003","OMC_TAXOTH_003","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMC_PERSDATA_N11","OMC_PERSDATA_N11","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMF_MOP_KO","OMF_MOP_KO","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMC_INVSHPADDR_003","OMC_INVSHPADDR_003","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_OMC"
"OMC_INVSHPADDR_001","OMC_INVSHPADDR_001","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_OMC"
"PEGCC_ERR_001","PEGCC_ERR_001","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"OMC_TAXOTH_KO","OMC_TAXOTH_KO","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"PEGCC_MOPSKY_001","PEGCC_MOPSKY_001","Variazione eseguita","","OK","SY_PEG"
"PEGCC_MOPSKY_002","PEGCC_MOPSKY_002","Variazione non eseguita","","KO","SY_PEG"
"PEGCC_VARSKY_001","PEGCC_VARSKY_001","Variazione eseguita","","OK","SY_PEG"
"PEGCC_VARSKY_002","PEGCC_VARSKY_002","Variazione non eseguita","","KO","SY_PEG"
"PEGCC_VARSKY_003","PEGCC_VARSKY_003","Fornite informazioni","","OK","SY_PEG"
"PEGCC_VARSKY_004","PEGCC_VARSKY_004","Variazione anagrafica eseguita","","OK","SY_PEG"
"PEGCC_VARSKY_005","PEGCC_VARSKY_005","Variazione CF eseguito","","OK","SY_PEG"
"PEGCC_VARSKY_006","PEGCC_VARSKY_006","Variazione recapiti eseguita","","OK","SY_PEG"
